실험,모델,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Base,Logistic Regression,0.7063,0.6818,0.5172,0.5882,0.7353
Base,Random Forest,0.6503,0.5625,0.6207,0.5902,0.7605
Base,XGBoost,0.6783,0.5909,0.6724,0.629,0.7434
Base,LightGBM,0.6783,0.6,0.6207,0.6102,0.743
Exp-1,Logistic Regression,0.8212,0.8136,0.6957,0.75,0.8607
Exp-1,Random Forest,0.8045,0.75,0.7391,0.7445,0.8182
Exp-1,XGBoost,0.7989,0.7538,0.7101,0.7313,0.8037
Exp-1,LightGBM,0.7989,0.7619,0.6957,0.7273,0.8164
Exp-2,Logistic Regression,0.7877,0.746,0.6812,0.7121,0.8518
Exp-2,Random Forest,0.8101,0.7692,0.7246,0.7463,0.8258
Exp-2,XGBoost,0.8045,0.7576,0.7246,0.7407,0.8075
Exp-2,LightGBM,0.7877,0.7385,0.6957,0.7164,0.8191
Exp-3,Logistic Regression,0.8045,0.7833,0.6812,0.7287,0.8448
Exp-3,Random Forest,0.7989,0.7538,0.7101,0.7313,0.8259
Exp-3,XGBoost,0.8156,0.7727,0.7391,0.7556,0.8036
Exp-3,LightGBM,0.8045,0.7742,0.6957,0.7328,0.806
